"","cage","site","depth","station","week","survivors","avlength","SD","tl","biom","min.do","max.do","mean.do","sd.do","min.temp","max.temp","mean.temp","sd.T","do.dur","temp.dur","mean.sal","sd.sal","ssat","index","fishID","Fish","fishlength","n","death.week","event","event2","start","end"
"11","MD1","M","deep","MD",11,6,72.83333333,11.8520978,437,6281.49998373937,5.89,11.02,8.29478827361564,1.03201502517893,19.85,23.4,21.1710586319218,0.940808208216767,0,0,30.9346481636645,0.615810702717019,3450,"MD1_11_X1","MD1_X1","X1",55,12,12,3,0,11,12
"12","MD1","M","deep","MD",1,10,43.3,8.866228059,433,1741.84362435871,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0,"MD1_1_X10","MD1_X10","X10",57,5,5,3,0,1,2
"13","MD1","M","deep","MD",2,10,44.6,7.605261337,446,1839.83259546594,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15,"MD1_2_X10","MD1_X10","X10",57,5,5,3,0,2,3
"14","MD1","M","deep","MD",3,10,52.3,10.46947945,523,3416.76622464617,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615,"MD1_3_X10","MD1_X10","X10",69,5,5,3,0,3,4
"15","MD1","M","deep","MD",4,10,50.5,21.80940164,505,4408.94780703513,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315,"MD1_4_X10","MD1_X10","X10",0,5,5,1,1,4,5
"16","MD1","M","deep","MD",1,10,43.3,8.866228059,433,1741.84362435871,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0,"MD1_1_X2","MD1_X2","X2",37,12,12,3,0,1,2
"17","MD1","M","deep","MD",2,10,44.6,7.605261337,446,1839.83259546594,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15,"MD1_2_X2","MD1_X2","X2",37,12,12,3,0,2,3
"18","MD1","M","deep","MD",3,10,52.3,10.46947945,523,3416.76622464617,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615,"MD1_3_X2","MD1_X2","X2",42,12,12,3,0,3,4
"19","MD1","M","deep","MD",4,10,50.5,21.80940164,505,4408.94780703513,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315,"MD1_4_X2","MD1_X2","X2",39,12,12,3,0,4,5
"20","MD1","M","deep","MD",5,8,60.25,11.90325586,482,4472.17555602327,4.13,11.16,6.82589308996089,1.11673863277578,19.85,24.06,21.3575619295958,0.943880898143587,0,0,30.1178178617992,0.433867936021658,870,"MD1_5_X2","MD1_X2","X2",45,12,12,3,0,5,6
"21","MD1","M","deep","MD",6,8,62.125,8.894345114,497,4636.52816119482,3.77,9.77,6.62794782608696,1.04382519732439,19.68,25.38,21.5768173913043,1.15956188096823,0,0,30.092548173913,0.553209530963719,480,"MD1_6_X2","MD1_X2","X2",50,12,12,3,0,6,7
"22","MD1","M","deep","MD",7,8,62.75,10.21946672,502,4909.87904664414,3.62,11.1,7.30778357235984,1.13778908877664,19.68,24.16,21.5362059973924,0.921268749576207,0,0,30.6906099104237,0.480834109606896,1785,"MD1_7_X2","MD1_X2","X2",52,12,12,3,0,7,8
"23","MD1","M","deep","MD",8,8,69.375,11.13482712,555,7021.44901739791,2.35,10.54,6.65373913043478,1.23933348732459,19.51,25.31,21.8274086956522,1.52115754507143,0,0,31.3863333913043,0.716669892541964,420,"MD1_8_X2","MD1_X2","X2",56,12,12,3,0,8,9
"24","MD1","M","deep","MD",9,8,66.625,9.313129173,533,5931.86710469173,4.27,11.92,7.32955671447197,1.3783573534617,21.54,24.54,22.6000130378096,0.516354084228804,0,0,29.5367383311604,1.36430491023266,2505,"MD1_9_X2","MD1_X2","X2",59,12,12,3,0,9,10
"25","MD1","M","deep","MD",10,6,68.66666667,10.73416146,412,5057.32675850341,5.28,12.65,8.43563988095238,1.43204777916278,19.87,24.31,22.0215922619048,1.32172131607866,0,0,29.9625596408899,0.468048297611332,4950,"MD1_10_X2","MD1_X2","X2",60,12,12,3,0,10,11
"26","MD1","M","deep","MD",11,6,72.83333333,11.8520978,437,6281.49998373937,5.89,11.02,8.29478827361564,1.03201502517893,19.85,23.4,21.1710586319218,0.940808208216767,0,0,30.9346481636645,0.615810702717019,3450,"MD1_11_X2","MD1_X2","X2",60,12,12,3,0,11,12
"27","MD1","M","deep","MD",1,10,43.3,8.866228059,433,1741.84362435871,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0,"MD1_1_X3","MD1_X3","X3",35,12,12,3,0,1,2
"28","MD1","M","deep","MD",2,10,44.6,7.605261337,446,1839.83259546594,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15,"MD1_2_X3","MD1_X3","X3",35,12,12,3,0,2,3
"29","MD1","M","deep","MD",3,10,52.3,10.46947945,523,3416.76622464617,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615,"MD1_3_X3","MD1_X3","X3",43,12,12,3,0,3,4
"30","MD1","M","deep","MD",4,10,50.5,21.80940164,505,4408.94780703513,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315,"MD1_4_X3","MD1_X3","X3",42,12,12,3,0,4,5
"31","MD1","M","deep","MD",5,8,60.25,11.90325586,482,4472.17555602327,4.13,11.16,6.82589308996089,1.11673863277578,19.85,24.06,21.3575619295958,0.943880898143587,0,0,30.1178178617992,0.433867936021658,870,"MD1_5_X3","MD1_X3","X3",50,12,12,3,0,5,6
"32","MD1","M","deep","MD",6,8,62.125,8.894345114,497,4636.52816119482,3.77,9.77,6.62794782608696,1.04382519732439,19.68,25.38,21.5768173913043,1.15956188096823,0,0,30.092548173913,0.553209530963719,480,"MD1_6_X3","MD1_X3","X3",59,12,12,3,0,6,7
"33","MD1","M","deep","MD",7,8,62.75,10.21946672,502,4909.87904664414,3.62,11.1,7.30778357235984,1.13778908877664,19.68,24.16,21.5362059973924,0.921268749576207,0,0,30.6906099104237,0.480834109606896,1785,"MD1_7_X3","MD1_X3","X3",53,12,12,3,0,7,8
"34","MD1","M","deep","MD",8,8,69.375,11.13482712,555,7021.44901739791,2.35,10.54,6.65373913043478,1.23933348732459,19.51,25.31,21.8274086956522,1.52115754507143,0,0,31.3863333913043,0.716669892541964,420,"MD1_8_X3","MD1_X3","X3",62,12,12,3,0,8,9
"35","MD1","M","deep","MD",9,8,66.625,9.313129173,533,5931.86710469173,4.27,11.92,7.32955671447197,1.3783573534617,21.54,24.54,22.6000130378096,0.516354084228804,0,0,29.5367383311604,1.36430491023266,2505,"MD1_9_X3","MD1_X3","X3",61,12,12,3,0,9,10
"36","MD1","M","deep","MD",10,6,68.66666667,10.73416146,412,5057.32675850341,5.28,12.65,8.43563988095238,1.43204777916278,19.87,24.31,22.0215922619048,1.32172131607866,0,0,29.9625596408899,0.468048297611332,4950,"MD1_10_X3","MD1_X3","X3",62,12,12,3,0,10,11
"37","MD1","M","deep","MD",11,6,72.83333333,11.8520978,437,6281.49998373937,5.89,11.02,8.29478827361564,1.03201502517893,19.85,23.4,21.1710586319218,0.940808208216767,0,0,30.9346481636645,0.615810702717019,3450,"MD1_11_X3","MD1_X3","X3",71,12,12,3,0,11,12
"38","MD1","M","deep","MD",1,10,43.3,8.866228059,433,1741.84362435871,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0,"MD1_1_X4","MD1_X4","X4",38,12,12,3,0,1,2
"39","MD1","M","deep","MD",2,10,44.6,7.605261337,446,1839.83259546594,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15,"MD1_2_X4","MD1_X4","X4",43,12,12,3,0,2,3
"40","MD1","M","deep","MD",3,10,52.3,10.46947945,523,3416.76622464617,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615,"MD1_3_X4","MD1_X4","X4",46,12,12,3,0,3,4
"41","MD1","M","deep","MD",4,10,50.5,21.80940164,505,4408.94780703513,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315,"MD1_4_X4","MD1_X4","X4",55,12,12,3,0,4,5
"42","MD1","M","deep","MD",5,8,60.25,11.90325586,482,4472.17555602327,4.13,11.16,6.82589308996089,1.11673863277578,19.85,24.06,21.3575619295958,0.943880898143587,0,0,30.1178178617992,0.433867936021658,870,"MD1_5_X4","MD1_X4","X4",61,12,12,3,0,5,6
"43","MD1","M","deep","MD",6,8,62.125,8.894345114,497,4636.52816119482,3.77,9.77,6.62794782608696,1.04382519732439,19.68,25.38,21.5768173913043,1.15956188096823,0,0,30.092548173913,0.553209530963719,480,"MD1_6_X4","MD1_X4","X4",61,12,12,3,0,6,7
"44","MD1","M","deep","MD",7,8,62.75,10.21946672,502,4909.87904664414,3.62,11.1,7.30778357235984,1.13778908877664,19.68,24.16,21.5362059973924,0.921268749576207,0,0,30.6906099104237,0.480834109606896,1785,"MD1_7_X4","MD1_X4","X4",67,12,12,3,0,7,8
"45","MD1","M","deep","MD",8,8,69.375,11.13482712,555,7021.44901739791,2.35,10.54,6.65373913043478,1.23933348732459,19.51,25.31,21.8274086956522,1.52115754507143,0,0,31.3863333913043,0.716669892541964,420,"MD1_8_X4","MD1_X4","X4",70,12,12,3,0,8,9
"46","MD1","M","deep","MD",9,8,66.625,9.313129173,533,5931.86710469173,4.27,11.92,7.32955671447197,1.3783573534617,21.54,24.54,22.6000130378096,0.516354084228804,0,0,29.5367383311604,1.36430491023266,2505,"MD1_9_X4","MD1_X4","X4",64,12,12,3,0,9,10
"47","MD1","M","deep","MD",10,6,68.66666667,10.73416146,412,5057.32675850341,5.28,12.65,8.43563988095238,1.43204777916278,19.87,24.31,22.0215922619048,1.32172131607866,0,0,29.9625596408899,0.468048297611332,4950,"MD1_10_X4","MD1_X4","X4",77,12,12,3,0,10,11
"48","MD1","M","deep","MD",11,6,72.83333333,11.8520978,437,6281.49998373937,5.89,11.02,8.29478827361564,1.03201502517893,19.85,23.4,21.1710586319218,0.940808208216767,0,0,30.9346481636645,0.615810702717019,3450,"MD1_11_X4","MD1_X4","X4",82,12,12,3,0,11,12
"49","MD1","M","deep","MD",1,10,43.3,8.866228059,433,1741.84362435871,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0,"MD1_1_X5","MD1_X5","X5",43,12,12,3,0,1,2
"50","MD1","M","deep","MD",2,10,44.6,7.605261337,446,1839.83259546594,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15,"MD1_2_X5","MD1_X5","X5",45,12,12,3,0,2,3
