,cage,site,depth,station,week,survivors,av_length,SD,biom,min.do,max.do,mean.do,sd.do,min.temp,max.temp,mean.temp,sd.T,do.dur,temp.dur,mean.sal,sd.sal,ssat,index,fishID,Survival1,Fish,fishlength,n,death.week,event,event2,start,end
20,CPD1,CP,deep,CPD,9,6,68.33333333,8.768630959,4830.481039,6.621394,9.79875,8.218911973,0.652404389,18.66,25.36,23.61153274,1.113405727,0,0,28.73310941,0.421275006,5160,CPD1_9_X2,CPD1_X2,0.6,X2,59,12,12,3,0,8,9
21,CPD1,CP,deep,CPD,10,6,71,7.371114796,5388.95208,3.94,12.8,7.839814815,1.491007487,20.93,27.49,23.76688657,1.711839803,0,540,28.10731614,0.505437156,4755,CPD1_10_X2,CPD1_X2,0.6,X2,67,12,12,3,0,9,10
22,CPD1,CP,deep,CPD,11,4,68.25,6.339361167,3083.211023,5.64,13.19,7.966388889,1.470237181,23.27,27.86,25.456875,1.225797881,0,585,27.42869314,0.328025189,1350,CPD1_11_X2,CPD1_X2,0.4,X2,68,12,12,3,0,10,11
23,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X3,CPD1_X3,1,X3,42,12,12,3,0,1,2
24,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X3,CPD1_X3,1,X3,46,12,12,3,0,2,3
25,CPD1,CP,deep,CPD,4,9,54.33333333,7.51295178,3225.014944,0.01,9.24,3.722961609,2.911718525,16.04,19.97,18.06645338,0.783115221,2955,0,29.95993572,0.244252774,120,CPD1_4_X3,CPD1_X3,0.9,X3,49,12,12,3,0,3,4
26,CPD1,CP,deep,CPD,5,9,59.22222222,9.077172562,4437.548828,4.14,10.92,7.820938586,1.170343783,17.63,24.66,20.71789108,1.744196729,0,0,29.63827549,0.353120938,3345,CPD1_5_X3,CPD1_X3,0.9,X3,54,12,12,3,0,4,5
27,CPD1,CP,deep,CPD,6,8,56.75,7.885905148,3351.049124,2.86,10.09,6.7185625,1.362713513,20.08,24.64,21.80545833,0.923347024,0,0,29.09796879,0.28866877,570,CPD1_6_X3,CPD1_X3,0.8,X3,55,12,12,3,0,5,6
28,CPD1,CP,deep,CPD,7,7,58,9.258200998,3291.01676,1.9,10.94,7.999375,1.705561537,17.34,24.77,20.63483073,1.50042279,15,0,28.20233911,0.781029604,4035,CPD1_7_X3,CPD1_X3,0.7,X3,53,12,12,3,0,6,7
29,CPD1,CP,deep,CPD,8,7,63.57142857,9.271417565,4454.297058,5.22,11.87,8.382569444,1.048005474,20.33,25.69,23.02897569,1.499195202,0,0,29.07920656,0.581248275,4230,CPD1_8_X3,CPD1_X3,0.7,X3,60,12,12,3,0,7,8
30,CPD1,CP,deep,CPD,9,6,68.33333333,8.768630959,4830.481039,6.621394,9.79875,8.218911973,0.652404389,18.66,25.36,23.61153274,1.113405727,0,0,28.73310941,0.421275006,5160,CPD1_9_X3,CPD1_X3,0.6,X3,67,12,12,3,0,8,9
31,CPD1,CP,deep,CPD,10,6,71,7.371114796,5388.95208,3.94,12.8,7.839814815,1.491007487,20.93,27.49,23.76688657,1.711839803,0,540,28.10731614,0.505437156,4755,CPD1_10_X3,CPD1_X3,0.6,X3,69,12,12,3,0,9,10
32,CPD1,CP,deep,CPD,11,4,68.25,6.339361167,3083.211023,5.64,13.19,7.966388889,1.470237181,23.27,27.86,25.456875,1.225797881,0,585,27.42869314,0.328025189,1350,CPD1_11_X3,CPD1_X3,0.4,X3,73,12,12,3,0,10,11
33,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X4,CPD1_X4,1,X4,44,12,12,3,0,1,2
34,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X4,CPD1_X4,1,X4,47,12,12,3,0,2,3
35,CPD1,CP,deep,CPD,4,9,54.33333333,7.51295178,3225.014944,0.01,9.24,3.722961609,2.911718525,16.04,19.97,18.06645338,0.783115221,2955,0,29.95993572,0.244252774,120,CPD1_4_X4,CPD1_X4,0.9,X4,51,12,12,3,0,3,4
36,CPD1,CP,deep,CPD,5,9,59.22222222,9.077172562,4437.548828,4.14,10.92,7.820938586,1.170343783,17.63,24.66,20.71789108,1.744196729,0,0,29.63827549,0.353120938,3345,CPD1_5_X4,CPD1_X4,0.9,X4,55,12,12,3,0,4,5
37,CPD1,CP,deep,CPD,6,8,56.75,7.885905148,3351.049124,2.86,10.09,6.7185625,1.362713513,20.08,24.64,21.80545833,0.923347024,0,0,29.09796879,0.28866877,570,CPD1_6_X4,CPD1_X4,0.8,X4,55,12,12,3,0,5,6
38,CPD1,CP,deep,CPD,7,7,58,9.258200998,3291.01676,1.9,10.94,7.999375,1.705561537,17.34,24.77,20.63483073,1.50042279,15,0,28.20233911,0.781029604,4035,CPD1_7_X4,CPD1_X4,0.7,X4,54,12,12,3,0,6,7
39,CPD1,CP,deep,CPD,8,7,63.57142857,9.271417565,4454.297058,5.22,11.87,8.382569444,1.048005474,20.33,25.69,23.02897569,1.499195202,0,0,29.07920656,0.581248275,4230,CPD1_8_X4,CPD1_X4,0.7,X4,63,12,12,3,0,7,8
40,CPD1,CP,deep,CPD,9,6,68.33333333,8.768630959,4830.481039,6.621394,9.79875,8.218911973,0.652404389,18.66,25.36,23.61153274,1.113405727,0,0,28.73310941,0.421275006,5160,CPD1_9_X4,CPD1_X4,0.6,X4,69,12,12,3,0,8,9
41,CPD1,CP,deep,CPD,10,6,71,7.371114796,5388.95208,3.94,12.8,7.839814815,1.491007487,20.93,27.49,23.76688657,1.711839803,0,540,28.10731614,0.505437156,4755,CPD1_10_X4,CPD1_X4,0.6,X4,71,12,12,3,0,9,10
42,CPD1,CP,deep,CPD,11,4,68.25,6.339361167,3083.211023,5.64,13.19,7.966388889,1.470237181,23.27,27.86,25.456875,1.225797881,0,585,27.42869314,0.328025189,1350,CPD1_11_X4,CPD1_X4,0.4,X4,74,12,12,3,0,10,11
43,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X5,CPD1_X5,1,X5,47,11,10,3,0,1,2
44,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X5,CPD1_X5,1,X5,48,11,10,3,0,2,3
45,CPD1,CP,deep,CPD,4,9,54.33333333,7.51295178,3225.014944,0.01,9.24,3.722961609,2.911718525,16.04,19.97,18.06645338,0.783115221,2955,0,29.95993572,0.244252774,120,CPD1_4_X5,CPD1_X5,0.9,X5,53,11,10,3,0,3,4
46,CPD1,CP,deep,CPD,5,9,59.22222222,9.077172562,4437.548828,4.14,10.92,7.820938586,1.170343783,17.63,24.66,20.71789108,1.744196729,0,0,29.63827549,0.353120938,3345,CPD1_5_X5,CPD1_X5,0.9,X5,64,11,10,3,0,4,5
47,CPD1,CP,deep,CPD,6,8,56.75,7.885905148,3351.049124,2.86,10.09,6.7185625,1.362713513,20.08,24.64,21.80545833,0.923347024,0,0,29.09796879,0.28866877,570,CPD1_6_X5,CPD1_X5,0.8,X5,57,11,10,3,0,5,6
48,CPD1,CP,deep,CPD,7,7,58,9.258200998,3291.01676,1.9,10.94,7.999375,1.705561537,17.34,24.77,20.63483073,1.50042279,15,0,28.20233911,0.781029604,4035,CPD1_7_X5,CPD1_X5,0.7,X5,59,11,10,3,0,6,7
49,CPD1,CP,deep,CPD,8,7,63.57142857,9.271417565,4454.297058,5.22,11.87,8.382569444,1.048005474,20.33,25.69,23.02897569,1.499195202,0,0,29.07920656,0.581248275,4230,CPD1_8_X5,CPD1_X5,0.7,X5,64,11,10,3,0,7,8
50,CPD1,CP,deep,CPD,9,6,68.33333333,8.768630959,4830.481039,6.621394,9.79875,8.218911973,0.652404389,18.66,25.36,23.61153274,1.113405727,0,0,28.73310941,0.421275006,5160,CPD1_9_X5,CPD1_X5,0.6,X5,71,11,10,3,0,8,9
51,CPD1,CP,deep,CPD,10,6,71,7.371114796,5388.95208,3.94,12.8,7.839814815,1.491007487,20.93,27.49,23.76688657,1.711839803,0,540,28.10731614,0.505437156,4755,CPD1_10_X5,CPD1_X5,0.6,X5,75,11,10,1,1,9,10
52,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X6,CPD1_X6,1,X6,49,11,10,3,0,1,2
53,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X6,CPD1_X6,1,X6,49,11,10,3,0,2,3
54,CPD1,CP,deep,CPD,4,9,54.33333333,7.51295178,3225.014944,0.01,9.24,3.722961609,2.911718525,16.04,19.97,18.06645338,0.783115221,2955,0,29.95993572,0.244252774,120,CPD1_4_X6,CPD1_X6,0.9,X6,55,11,10,3,0,3,4
55,CPD1,CP,deep,CPD,5,9,59.22222222,9.077172562,4437.548828,4.14,10.92,7.820938586,1.170343783,17.63,24.66,20.71789108,1.744196729,0,0,29.63827549,0.353120938,3345,CPD1_5_X6,CPD1_X6,0.9,X6,64,11,10,3,0,4,5
56,CPD1,CP,deep,CPD,6,8,56.75,7.885905148,3351.049124,2.86,10.09,6.7185625,1.362713513,20.08,24.64,21.80545833,0.923347024,0,0,29.09796879,0.28866877,570,CPD1_6_X6,CPD1_X6,0.8,X6,57,11,10,3,0,5,6
57,CPD1,CP,deep,CPD,7,7,58,9.258200998,3291.01676,1.9,10.94,7.999375,1.705561537,17.34,24.77,20.63483073,1.50042279,15,0,28.20233911,0.781029604,4035,CPD1_7_X6,CPD1_X6,0.7,X6,60,11,10,3,0,6,7
58,CPD1,CP,deep,CPD,8,7,63.57142857,9.271417565,4454.297058,5.22,11.87,8.382569444,1.048005474,20.33,25.69,23.02897569,1.499195202,0,0,29.07920656,0.581248275,4230,CPD1_8_X6,CPD1_X6,0.7,X6,66,11,10,3,0,7,8
59,CPD1,CP,deep,CPD,9,6,68.33333333,8.768630959,4830.481039,6.621394,9.79875,8.218911973,0.652404389,18.66,25.36,23.61153274,1.113405727,0,0,28.73310941,0.421275006,5160,CPD1_9_X6,CPD1_X6,0.6,X6,85,11,10,3,0,8,9
60,CPD1,CP,deep,CPD,10,6,71,7.371114796,5388.95208,3.94,12.8,7.839814815,1.491007487,20.93,27.49,23.76688657,1.711839803,0,540,28.10731614,0.505437156,4755,CPD1_10_X6,CPD1_X6,0.6,X6,84,11,10,1,1,9,10
61,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X7,CPD1_X7,1,X7,52,9,8,3,0,1,2
62,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X7,CPD1_X7,1,X7,55,9,8,3,0,2,3
63,CPD1,CP,deep,CPD,4,9,54.33333333,7.51295178,3225.014944,0.01,9.24,3.722961609,2.911718525,16.04,19.97,18.06645338,0.783115221,2955,0,29.95993572,0.244252774,120,CPD1_4_X7,CPD1_X7,0.9,X7,58,9,8,3,0,3,4
64,CPD1,CP,deep,CPD,5,9,59.22222222,9.077172562,4437.548828,4.14,10.92,7.820938586,1.170343783,17.63,24.66,20.71789108,1.744196729,0,0,29.63827549,0.353120938,3345,CPD1_5_X7,CPD1_X7,0.9,X7,65,9,8,3,0,4,5
65,CPD1,CP,deep,CPD,6,8,56.75,7.885905148,3351.049124,2.86,10.09,6.7185625,1.362713513,20.08,24.64,21.80545833,0.923347024,0,0,29.09796879,0.28866877,570,CPD1_6_X7,CPD1_X7,0.8,X7,68,9,8,3,0,5,6
66,CPD1,CP,deep,CPD,7,7,58,9.258200998,3291.01676,1.9,10.94,7.999375,1.705561537,17.34,24.77,20.63483073,1.50042279,15,0,28.20233911,0.781029604,4035,CPD1_7_X7,CPD1_X7,0.7,X7,79,9,8,3,0,6,7
67,CPD1,CP,deep,CPD,8,7,63.57142857,9.271417565,4454.297058,5.22,11.87,8.382569444,1.048005474,20.33,25.69,23.02897569,1.499195202,0,0,29.07920656,0.581248275,4230,CPD1_8_X7,CPD1_X7,0.7,X7,83,9,8,1,1,7,8
68,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X8,CPD1_X8,1,X8,53,7,6,3,0,1,2
69,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X8,CPD1_X8,1,X8,57,7,6,3,0,2,3
70,CPD1,CP,deep,CPD,4,9,54.33333333,7.51295178,3225.014944,0.01,9.24,3.722961609,2.911718525,16.04,19.97,18.06645338,0.783115221,2955,0,29.95993572,0.244252774,120,CPD1_4_X8,CPD1_X8,0.9,X8,66,7,6,3,0,3,4
71,CPD1,CP,deep,CPD,5,9,59.22222222,9.077172562,4437.548828,4.14,10.92,7.820938586,1.170343783,17.63,24.66,20.71789108,1.744196729,0,0,29.63827549,0.353120938,3345,CPD1_5_X8,CPD1_X8,0.9,X8,66,7,6,3,0,4,5
72,CPD1,CP,deep,CPD,6,8,56.75,7.885905148,3351.049124,2.86,10.09,6.7185625,1.362713513,20.08,24.64,21.80545833,0.923347024,0,0,29.09796879,0.28866877,570,CPD1_6_X8,CPD1_X8,0.8,X8,69,7,6,1,1,5,6
73,CPD1,CP,deep,CPD,2,10,46.2,7.93473377,2074.638728,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD1_2_X9,CPD1_X9,1,X9,54,6,5,3,0,1,2
74,CPD1,CP,deep,CPD,3,10,49.7,8.462269199,2705.158518,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD1_3_X9,CPD1_X9,1,X9,60,6,5,3,0,2,3
75,CPD1,CP,deep,CPD,4,9,54.33333333,7.51295178,3225.014944,0.01,9.24,3.722961609,2.911718525,16.04,19.97,18.06645338,0.783115221,2955,0,29.95993572,0.244252774,120,CPD1_4_X9,CPD1_X9,0.9,X9,66,6,5,3,0,3,4
76,CPD1,CP,deep,CPD,5,9,59.22222222,9.077172562,4437.548828,4.14,10.92,7.820938586,1.170343783,17.63,24.66,20.71789108,1.744196729,0,0,29.63827549,0.353120938,3345,CPD1_5_X9,CPD1_X9,0.9,X9,72,6,5,1,1,4,5
77,CPD2,CP,deep,CPD,2,6,44.83333333,4.058598554,1031.498359,1.43,12.41,7.816724739,2.203771599,12.31,22.18,17.04509872,2.4604056,165,0,31.57738178,0.819015851,3570,CPD2_2_X1,CPD2_X1,0.75,X1,40,11,10,3,0,1,2
78,CPD2,CP,deep,CPD,3,5,53.6,2.154065923,1577.953337,0.2,10.96,7.302018229,2.273786099,17.66,22.81,20.0035026,1.503948076,630,0,29.69405153,0.611320794,2745,CPD2_3_X1,CPD2_X1,0.625,X1,51,11,10,3,0,2,3
