"","index","station","temp","DO","sal","perDO","week","site","depth"
"1","6/13/2016 15:15","CPD",15.46,11.08,32.6943598,134.751927413039,1,"CP","D"
"2","6/13/2016 15:30","CPD",15.49,10.87,32.6776756,132.263026957043,1,"CP","D"
"3","6/13/2016 15:45","CPD",15.52,10.76,32.5988891,130.939289545672,1,"CP","D"
"4","6/13/2016 16:00","CPD",15.53,10.91,32.5933277,132.786413477876,1,"CP","D"
"5","6/13/2016 16:15","CPD",15.52,11.02,32.5713673,134.080702506735,1,"CP","D"
"6","6/13/2016 16:30","CPD",15.31,10.76,32.6362503,130.425115277544,1,"CP","D"
"7","6/13/2016 16:45","CPD",15.14,10.7,32.6622035,129.280654960811,1,"CP","D"
"8","6/13/2016 17:00","CPD",13.84,10.69,32.8783138,125.9908104818,1,"CP","D"
"9","6/13/2016 17:15","CPD",13.41,10.83,32.9837665,126.607341954357,1,"CP","D"
"10","6/13/2016 17:30","CPD",13.25,10.95,32.9780625,127.585854437738,1,"CP","D"
"11","6/13/2016 17:45","CPD",13.1,11,33.0112883,127.799722140003,1,"CP","D"
"12","6/13/2016 18:00","CPD",13.04,10.97,33.0328209,127.310660083997,1,"CP","D"
"13","6/13/2016 18:15","CPD",13,10.99,33.0256909,127.431846716054,1,"CP","D"
"14","6/13/2016 18:30","CPD",13,11,33.0256909,127.547799260837,1,"CP","D"
"15","6/13/2016 18:45","CPD",13,10.94,33.0018767,126.83324691251,1,"CP","D"
"16","6/13/2016 19:00","CPD",13,10.91,32.9917521,126.477455161503,1,"CP","D"
"17","6/13/2016 19:15","CPD",12.99,9.49,33.0315375,110.020256903085,1,"CP","D"
"18","6/13/2016 19:30","CPD",13,10.24,32.9646581,118.690223060686,1,"CP","D"
"19","6/13/2016 19:45","CPD",13,10.2,32.9917521,118.246566695447,1,"CP","D"
"20","6/13/2016 20:00","CPD",12.99,8.56,32.9738558,99.2028101728055,1,"CP","D"
"21","6/13/2016 20:15","CPD",12.92,10.21,32.9877593,118.164049524261,1,"CP","D"
"22","6/13/2016 20:30","CPD",12.92,9.89,32.9674388,114.446059805699,1,"CP","D"
"23","6/13/2016 20:45","CPD",12.89,8.96,32.9850499,103.631266398021,1,"CP","D"
"24","6/13/2016 21:00","CPD",12.89,9.77,32.9918234,113.004495492736,1,"CP","D"
"25","6/13/2016 21:15","CPD",12.88,9.32,32.9638738,107.758475854113,1,"CP","D"
"26","6/13/2016 21:30","CPD",12.88,9.49,32.9943902,109.744930922891,1,"CP","D"
"27","6/13/2016 21:45","CPD",12.85,10.19,32.9747827,117.752355634449,1,"CP","D"
"28","6/13/2016 22:00","CPD",12.83,10.23,32.9831248,118.171789348014,1,"CP","D"
"29","6/13/2016 22:15","CPD",12.85,10.28,32.9882584,118.802362198649,1,"CP","D"
"30","6/13/2016 22:30","CPD",12.9,10.28,32.9589541,118.903604739434,1,"CP","D"
"31","6/13/2016 22:45","CPD",13,10.16,32.9409152,117.745520669895,1,"CP","D"
"32","6/13/2016 23:00","CPD",13.05,9.81,32.9252292,113.795601811309,1,"CP","D"
"33","6/13/2016 23:15","CPD",13.1,9.98,32.9061921,115.873298024674,1,"CP","D"
"34","6/13/2016 23:30","CPD",13.27,10.03,32.9086876,116.863910953265,1,"CP","D"
